"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_082_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Predicted SQA points (Advance Highers), Domicile, Gender, Age group, Applicant type                                               "
"Coverage: Scotish 18 year old applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     4332 lines in total"
"------------------------------------------------------------------"
Year,Predicted SQA points (Advance Highers),Domicile,Gender,Age group,Applicant type,Applicants,
2010,All,All,All,All,All,20205
2011,All,All,All,All,All,19555
2012,All,All,All,All,All,19460
2013,All,All,All,All,All,19420
2014,All,All,All,All,All,19415
2015,All,All,All,All,All,20005
2016,All,All,All,All,All,19720
2017,All,All,All,All,All,19285
2018,All,All,All,All,All,18570
2019,All,All,All,All,All,17940
2020,All,All,All,All,All,17640
2021,All,All,All,All,All,20270
2010,All,All,All,All,Main scheme applicant,19700
2010,All,All,All,All,Non-main scheme applicant,505
2011,All,All,All,All,Main scheme applicant,19355
2011,All,All,All,All,Non-main scheme applicant,200
2012,All,All,All,All,Main scheme applicant,19105
2012,All,All,All,All,Non-main scheme applicant,355
2013,All,All,All,All,Main scheme applicant,19035
2013,All,All,All,All,Non-main scheme applicant,390
2014,All,All,All,All,Main scheme applicant,19360
2014,All,All,All,All,Non-main scheme applicant,55
2015,All,All,All,All,Main scheme applicant,19570
2015,All,All,All,All,Non-main scheme applicant,435
2016,All,All,All,All,Main scheme applicant,19320
2016,All,All,All,All,Non-main scheme applicant,400
2017,All,All,All,All,Main scheme applicant,18905
2017,All,All,All,All,Non-main scheme applicant,380
2018,All,All,All,All,Main scheme applicant,18210
2018,All,All,All,All,Non-main scheme applicant,360
2019,All,All,All,All,Main scheme applicant,17610
2019,All,All,All,All,Non-main scheme applicant,330
2020,All,All,All,All,Main scheme applicant,17165
2020,All,All,All,All,Non-main scheme applicant,470
2021,All,All,All,All,Main scheme applicant,19935
2021,All,All,All,All,Non-main scheme applicant,330
2010,All,All,All,18,All,20205
2011,All,All,All,18,All,19555
2012,All,All,All,18,All,19460
2013,All,All,All,18,All,19420
2014,All,All,All,18,All,19415
2015,All,All,All,18,All,20005
2016,All,All,All,18,All,19720
2017,All,All,All,18,All,19285
2018,All,All,All,18,All,18570
2019,All,All,All,18,All,17940
2020,All,All,All,18,All,17640
2021,All,All,All,18,All,20270
2010,All,All,All,18,Main scheme applicant,19700
2010,All,All,All,18,Non-main scheme applicant,505
2011,All,All,All,18,Main scheme applicant,19355
2011,All,All,All,18,Non-main scheme applicant,200
2012,All,All,All,18,Main scheme applicant,19105
2012,All,All,All,18,Non-main scheme applicant,355
2013,All,All,All,18,Main scheme applicant,19035
2013,All,All,All,18,Non-main scheme applicant,390
2014,All,All,All,18,Main scheme applicant,19360
2014,All,All,All,18,Non-main scheme applicant,55
2015,All,All,All,18,Main scheme applicant,19570
2015,All,All,All,18,Non-main scheme applicant,435
2016,All,All,All,18,Main scheme applicant,19320
2016,All,All,All,18,Non-main scheme applicant,400
2017,All,All,All,18,Main scheme applicant,18905
2017,All,All,All,18,Non-main scheme applicant,380
2018,All,All,All,18,Main scheme applicant,18210
2018,All,All,All,18,Non-main scheme applicant,360
2019,All,All,All,18,Main scheme applicant,17610
2019,All,All,All,18,Non-main scheme applicant,330
2020,All,All,All,18,Main scheme applicant,17165
2020,All,All,All,18,Non-main scheme applicant,470
2021,All,All,All,18,Main scheme applicant,19935
2021,All,All,All,18,Non-main scheme applicant,330
2010,All,All,Men,All,All,8685
2010,All,All,Women,All,All,11520
2011,All,All,Men,All,All,8445
2011,All,All,Women,All,All,11110
2012,All,All,Men,All,All,8270
2012,All,All,Women,All,All,11195
2013,All,All,Men,All,All,8305
2013,All,All,Women,All,All,11115
2014,All,All,Men,All,All,8070
2014,All,All,Women,All,All,11345
2015,All,All,Men,All,All,8345
2015,All,All,Women,All,All,11660
2016,All,All,Men,All,All,8040
2016,All,All,Women,All,All,11680
2017,All,All,Men,All,All,7760
2017,All,All,Women,All,All,11520
2018,All,All,Men,All,All,7425
2018,All,All,Women,All,All,11145
2019,All,All,Men,All,All,6935
2019,All,All,Women,All,All,11005
2020,All,All,Men,All,All,6910
2020,All,All,Women,All,All,10725
2021,All,All,Men,All,All,7900
2021,All,All,Women,All,All,12370
2010,All,All,Men,All,Main scheme applicant,8405
2010,All,All,Men,All,Non-main scheme applicant,280
2010,All,All,Women,All,Main scheme applicant,11290
2010,All,All,Women,All,Non-main scheme applicant,225
2011,All,All,Men,All,Main scheme applicant,8345
2011,All,All,Men,All,Non-main scheme applicant,100
2011,All,All,Women,All,Main scheme applicant,11010
2011,All,All,Women,All,Non-main scheme applicant,100
2012,All,All,Men,All,Main scheme applicant,8075
2012,All,All,Men,All,Non-main scheme applicant,195
2012,All,All,Women,All,Main scheme applicant,11030
2012,All,All,Women,All,Non-main scheme applicant,160
2013,All,All,Men,All,Main scheme applicant,8115
2013,All,All,Men,All,Non-main scheme applicant,190
2013,All,All,Women,All,Main scheme applicant,10920
2013,All,All,Women,All,Non-main scheme applicant,195
2014,All,All,Men,All,Main scheme applicant,8045
2014,All,All,Men,All,Non-main scheme applicant,25
2014,All,All,Women,All,Main scheme applicant,11320
2014,All,All,Women,All,Non-main scheme applicant,25
2015,All,All,Men,All,Main scheme applicant,8100
2015,All,All,Men,All,Non-main scheme applicant,240
2015,All,All,Women,All,Main scheme applicant,11465
2015,All,All,Women,All,Non-main scheme applicant,195
2016,All,All,Men,All,Main scheme applicant,7835
2016,All,All,Men,All,Non-main scheme applicant,205
2016,All,All,Women,All,Main scheme applicant,11485
2016,All,All,Women,All,Non-main scheme applicant,190
2017,All,All,Men,All,Main scheme applicant,7575
2017,All,All,Men,All,Non-main scheme applicant,185
2017,All,All,Women,All,Main scheme applicant,11330
2017,All,All,Women,All,Non-main scheme applicant,195
2018,All,All,Men,All,Main scheme applicant,7265
2018,All,All,Men,All,Non-main scheme applicant,165
2018,All,All,Women,All,Main scheme applicant,10950
2018,All,All,Women,All,Non-main scheme applicant,195
2019,All,All,Men,All,Main scheme applicant,6785
2019,All,All,Men,All,Non-main scheme applicant,150
2019,All,All,Women,All,Main scheme applicant,10825
2019,All,All,Women,All,Non-main scheme applicant,180
2020,All,All,Men,All,Main scheme applicant,6690
2020,All,All,Men,All,Non-main scheme applicant,220
2020,All,All,Women,All,Main scheme applicant,10475
2020,All,All,Women,All,Non-main scheme applicant,250
2021,All,All,Men,All,Main scheme applicant,7735
2021,All,All,Men,All,Non-main scheme applicant,165
2021,All,All,Women,All,Main scheme applicant,12205
2021,All,All,Women,All,Non-main scheme applicant,170
2010,All,All,Men,18,All,8685
2010,All,All,Women,18,All,11520
2011,All,All,Men,18,All,8445
2011,All,All,Women,18,All,11110
2012,All,All,Men,18,All,8270
2012,All,All,Women,18,All,11195
2013,All,All,Men,18,All,8305
2013,All,All,Women,18,All,11115
2014,All,All,Men,18,All,8070
2014,All,All,Women,18,All,11345
2015,All,All,Men,18,All,8345
2015,All,All,Women,18,All,11660
2016,All,All,Men,18,All,8040
2016,All,All,Women,18,All,11680
2017,All,All,Men,18,All,7760
2017,All,All,Women,18,All,11520
2018,All,All,Men,18,All,7425
2018,All,All,Women,18,All,11145
2019,All,All,Men,18,All,6935
2019,All,All,Women,18,All,11005
2020,All,All,Men,18,All,6910
2020,All,All,Women,18,All,10725
2021,All,All,Men,18,All,7900
2021,All,All,Women,18,All,12370
2010,All,All,Men,18,Main scheme applicant,8405
2010,All,All,Men,18,Non-main scheme applicant,280
2010,All,All,Women,18,Main scheme applicant,11290
2010,All,All,Women,18,Non-main scheme applicant,225
2011,All,All,Men,18,Main scheme applicant,8345
2011,All,All,Men,18,Non-main scheme applicant,100
2011,All,All,Women,18,Main scheme applicant,11010
2011,All,All,Women,18,Non-main scheme applicant,100
2012,All,All,Men,18,Main scheme applicant,8075
2012,All,All,Men,18,Non-main scheme applicant,195
2012,All,All,Women,18,Main scheme applicant,11030
2012,All,All,Women,18,Non-main scheme applicant,160
2013,All,All,Men,18,Main scheme applicant,8115
2013,All,All,Men,18,Non-main scheme applicant,190
2013,All,All,Women,18,Main scheme applicant,10920
2013,All,All,Women,18,Non-main scheme applicant,195
2014,All,All,Men,18,Main scheme applicant,8045
2014,All,All,Men,18,Non-main scheme applicant,25
2014,All,All,Women,18,Main scheme applicant,11320
2014,All,All,Women,18,Non-main scheme applicant,25
2015,All,All,Men,18,Main scheme applicant,8100
2015,All,All,Men,18,Non-main scheme applicant,240
2015,All,All,Women,18,Main scheme applicant,11465
2015,All,All,Women,18,Non-main scheme applicant,195
2016,All,All,Men,18,Main scheme applicant,7835
2016,All,All,Men,18,Non-main scheme applicant,205
